GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Clinic Pet Web,ru.lesson.store,UserCache,0,51,0,0,0,12,0,8,0,8
Clinic Pet Web,ru.lesson.store,ClinicCache,7,79,0,2,4,10,0,5,0,4
Clinic Pet Web,ru.lesson.servlets,UserDeleteServlet,0,29,0,0,0,5,0,3,0,3
Clinic Pet Web,ru.lesson.servlets,ClinicServlet,24,100,9,5,6,21,6,5,0,4
Clinic Pet Web,ru.lesson.servlets,UserViewServlet,21,0,0,0,6,0,2,0,2,0
Clinic Pet Web,ru.lesson.servlets,UserEditServlet,21,44,0,0,4,6,1,3,1,3
Clinic Pet Web,ru.lesson.servlets,UserCreateServlet,0,42,0,0,0,6,0,2,0,2
Clinic Pet Web,ru.lesson.models,User,0,21,0,0,0,8,0,4,0,4
Clinic Pet Web,ru.lesson.clinicServlets,ClinicCreateServlet,6,68,0,2,4,9,0,4,0,3
Clinic Pet Web,ru.lesson.clinicServlets,ClinicViewServlet,5,18,0,0,2,4,0,3,0,3
Clinic Pet Web,ru.lesson.clinicServlets,ClinicDeleteServlet,0,30,0,0,0,5,0,3,0,3
Clinic Pet Web,ru.lesson.clinicServlets,ClinicEditServlet,21,50,0,0,6,8,1,3,1,3
